id,title,company,city,region,contract,skills,salary,source,url,posted_at,scraped_at
1,Hotel Sousse 4* recrute Guest Relations Manager,Hotel Sousse 4*,,,secteur_prive,,,farojob,https://www.farojob.net/jobs/hotel-sousse-4-recrute-guest-relations-manager/,9 mars 2026,2026-03-17 13:28:55
2,Expertise Immigration Canada recrute Ouvrier(ère) d’entretien,Expertise Immigration Canada,,,etranger,,,farojob,https://www.farojob.net/jobs/expertise-immigration-canada-recrute-ouvrierere-dentretien/,5 mars 2026,2026-03-17 13:28:55
3,Linkers it recrute Graphic Designer Confirmé,Linkers it,Nabeul,Nabeul,secteur_prive,,,farojob,https://www.farojob.net/jobs/linkers-it-recrute-graphic-designer-confirme/,2 mars 2026,2026-03-17 13:28:55
4,Entreprise d’Electroménager recrute Techniciens Electronique,Société d’électroménager,Tunis,Gouvernorat de Tunis,secteur_prive,,,farojob,https://www.farojob.net/jobs/entreprise-delectromenager-recrute-techniciens-electronique/,10 février 2026,2026-03-17 13:28:55
5,Entreprise d’Electroménager recrute Déclarant en Douane,Société d’électroménager,Tunis,Gouvernorat de Tunis,secteur_prive,,,farojob,https://www.farojob.net/jobs/entreprise-delectromenager-recrute-declarant-en-douane/,10 février 2026,2026-03-17 13:28:55
6,Isobat recrute Téléopérateurs en prise de rdv B2B,Isobat,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/isobat-recrute-teleoperateurs-en-prise-de-rdv-b2b/,6 février 2026,2026-03-17 13:28:55
7,ROTOSAT INDUSTRY recrute Commercial,ROTOSAT INDUSTRY,Sousse,Tunisie,secteur_prive,,,farojob,https://www.farojob.net/jobs/rotosat-industry-recrute-commercial/,31 janvier 2026,2026-03-17 13:28:55
8,Offre d’emploi – Pharmacie de Nuit,pharmacie de nuit,Gafsa,Sened,secteur_prive,,,farojob,https://www.farojob.net/jobs/offre-demploi-pharmacie-de-nuit/,31 janvier 2026,2026-03-17 13:28:55
9,Ozeol recrute International Commercial,Ozeol,Sousse,Sousse,secteur_prive,,,farojob,https://www.farojob.net/jobs/ozeol-recrute-international-commercial/,26 janvier 2026,2026-03-17 13:28:55
10,Crown and Circle Consultancy srl recrute Assistant Restaurant Manager,Crown and Circle Consultancy SRL,,Al Asimah,etranger,,,farojob,https://www.farojob.net/jobs/crown-and-circle-consultancy-srl-recrute-assistant-restaurant-manager/,23 janvier 2026,2026-03-17 13:28:55
11,ASCII recrute Assistant(e) Support Informatique / SAV Logiciels de Gestion,ASCII,Tunis,تونس‎,secteur_prive,,,farojob,https://www.farojob.net/jobs/ascii-recrute-assistante-support-informatique-sav-logiciels-de-gestion/,21 janvier 2026,2026-03-17 13:28:55
12,UNIGO Studies recrute Conseiller(e) en orientation,UNIGO Studies,,Tunis,stage,,,farojob,https://www.farojob.net/jobs/unigo-studies-recrute-conseillere-en-orientation/,21 janvier 2026,2026-03-17 13:28:55
13,BTL Medical Tunisia recrute Représentant commercial pour la région sud de la Tunisie,BTL Medical Tunisia S.a.r.l,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/btl-medical-tunisia-recrute-representant-commercial-pour-la-region-sud-de-la-tunisie/,15 janvier 2026,2026-03-17 13:28:55
14,ATVC Consulting recrute des agents Back Office,ATVC Consulting,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/atvc-consulting-recrute-des-agents-back-office/,15 janvier 2026,2026-03-17 13:28:55
15,Remes Resort MEDICAL recrute infirmier / d’infirmière,société Remes Resort MEDICAL,Monastir,,secteur_prive,,,farojob,https://www.farojob.net/jobs/remes-resort-medical-recrute-infirmier-dinfirmiere/,12 janvier 2026,2026-03-17 13:28:55
16,CLINIQUE ELMOUROUJ recrute une licencié,clinique elmourouj,Ben Arous,Ben Arous,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-elmourouj-recrute-une-licencie/,18 novembre 2025,2026-03-17 13:28:57
17,Institut des nouvelles technologies INT recrute Formateur (ice)  en langue française,Institut des nouvelles technologies  INT,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/institut-des-nouvelles-technologies-int-recrute-formateur-ice-en-langue-francaise/,18 novembre 2025,2026-03-17 13:28:57
18,Société d’électroménager recrute Représentants Commerciaux (H/F),Société d’électroménager,Tunis,Gouvernorat de Tunis,secteur_prive,,,farojob,https://www.farojob.net/jobs/societe-delectromenager-recrute-representants-commerciaux-h-f/,18 novembre 2025,2026-03-17 13:28:57
19,3W WIT Web Agency recrute Développeurs web FULLSTACK,3W WIT Web Agency,,Nabeul‎,secteur_prive,,,farojob,https://www.farojob.net/jobs/3w-wit-web-agency-recrute-developpeurs-web-fullstack/,5 novembre 2025,2026-03-17 13:28:58
20,Clinique elmourouj recrute Technicien Biomedicale,clinique elmourouj,Ben Arous,Ben Arous,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-biomedicale/,12 septembre 2025,2026-03-17 13:28:58
21,Magasin Général recrute Acheteur/Acheteuse,Magasin Général,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/magasin-general-recrute-acheteur-acheteuse/,12 septembre 2025,2026-03-17 13:28:58
22,Clinique elmourouj recrute Technicien en maintenance,clinique elmourouj,Ben Arous,Ben Arous,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-elmourouj-recrute-technicien-en-maintenance/,12 septembre 2025,2026-03-17 13:28:58
23,Expertworkspace recrute Translation from English to arabic,Expertworkspace,Tunis,MEDTECH Building,freelance,,,farojob,https://www.farojob.net/jobs/expertworkspace-recrute-translation-from-english-to-arabic/,10 septembre 2025,2026-03-17 13:28:58
24,Société d’électroménager recrute Responsable hygiène et entretien Bâtiments,Société d’électroménager,Tunis,Gouvernorat de Tunis,secteur_prive,,,farojob,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/,4 septembre 2025,2026-03-17 13:28:58
25,Clinique du centre recrute Agent de Réception (Homme),Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/,29 août 2025,2026-03-17 13:28:58
26,Clinique du centre recrute Technicien Biomédical (option Radiologie),Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/,20 août 2025,2026-03-17 13:28:58
27,Clinique du centre recrute Technicien de Maintenance Industrielle,Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-industrielle/,20 août 2025,2026-03-17 13:28:58
28,AGRIUP DISTRIBUTION recrute Agent Commercial Sédentaire (H/F),AGRIUP DISTRIBUTION,Ben Arous,,secteur_prive,,,farojob,https://www.farojob.net/jobs/agriup-distribution-recrute-agent-commercial-sedentaire-h-f/,18 août 2025,2026-03-17 13:28:58
29,AGRIUP DISTRIBUTION recrute Technico-Commercial Intrants Agricoles (H/F),AGRIUP DISTRIBUTION,Ben Arous,,secteur_prive,,,farojob,https://www.farojob.net/jobs/agriup-distribution-recrute-technico-commercial-intrants-agricoles-h-f/,18 août 2025,2026-03-17 13:28:58
30,Ulysse voyages Tunisie recrute Conseillère Voyages (H/F),Ulysse voyages Tunisie,,Avenue l’UMA 2036 soukra Ariana,secteur_prive,,,farojob,https://www.farojob.net/jobs/ulysse-voyages-tunisie-recrute-conseillere-voyages-h-f/,14 août 2025,2026-03-17 13:28:58
31,ALUBAT recrute Des techniciens en menuiserie d’aluminium,ALUBAT,Ben Arous,,secteur_prive,,,farojob,https://www.farojob.net/jobs/alubat-recrute-des-techniciens-en-menuiserie-daluminium/,6 août 2025,2026-03-17 13:29:01
32,Clinique du centre recrute Chargée Marketing & Design Graphique,Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-chargee-marketing-design-graphique/,8 juillet 2025,2026-03-17 13:29:01
33,Clinique du centre recrute Technicien de Maintenance Chaud-Froid,Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-chaud-froid/,7 juillet 2025,2026-03-17 13:29:01
34,csforyou recrute Gestionnaire de paie expérimenté(e) – Maîtrise SAGE COLA – tunisie,csforyou,,,secteur_prive,,,farojob,https://www.farojob.net/jobs/csforyou-recrute-gestionnaire-de-paie-experimentee-maitrise-sage-cola-tunisie/,7 juillet 2025,2026-03-17 13:29:01
35,Call In Call Out recrute Télé-Opérateur Nouveau,Call In Call Out,Sousse,,secteur_prive,,,farojob,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-nouveau/,4 juillet 2025,2026-03-17 13:29:01
36,DELTA GRAFIX recrute Soudeur Semi Automatique / Installateur,DELTA GRAFIX,Ben Arous,Gouvernorat de Tunis,secteur_prive,,,farojob,https://www.farojob.net/jobs/delta-grafix-recrute-soudeur-semi-automatique-installateur/,1 juillet 2025,2026-03-17 13:29:01
37,DELTA GRAFIX recrute Poseur d’enseigne et signalétique,DELTA GRAFIX,Ben Arous,,secteur_prive,,,farojob,https://www.farojob.net/jobs/delta-grafix-recrute-poseur-denseigne-et-signaletique/,23 juin 2025,2026-03-17 13:29:01
38,Clinique du centre recrute Assistante Administrative,Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-assistante-administrative/,23 juin 2025,2026-03-17 13:29:01
39,Call In Call Out recrute Télé-Opérateur Reception d’appel,Call In Call Out,Sousse,,secteur_prive,,,farojob,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur-reception-dappel/,17 juin 2025,2026-03-17 13:29:01
40,Clinique elmourouj recrutetechniciens en imagerie médicale,clinique elmourouj,Ben Arous,El Mourouj,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-elmourouj-recrutetechniciens-en-imagerie-medicale/,16 juin 2025,2026-03-17 13:29:01
41,Clinique du centre recrute Contrôleur de Gestion,Clinique du centre,,Ksar Hellal,secteur_prive,,,farojob,https://www.farojob.net/jobs/clinique-du-centre-recrute-controleur-de-gestion/,12 juin 2025,2026-03-17 13:29:01
42,Bestbrands recrute Représentant Commercial circuit Gros Zone Nord-Ouest,Bestbrands,,,secteur_prive,,,farojob,https://www.farojob.net/jobs/bestbrands-recrute-representant-commercial-circuit-gros-zone-nord-ouest/,10 juin 2025,2026-03-17 13:29:01
43,Concours Ministère de la jeunesse et des sports pour le recrutement de 440 Professeurs – 2025,Ministère de la jeunesse et des sports,,,concours,,,farojob,https://www.farojob.net/jobs/concours-ministere-de-la-jeunesse-et-des-sports-pour-le-recrutement-de-440-professeurs-2025/,29 mai 2025,2026-03-17 13:29:01
44,Concours Ministère de la Justice pour le recrutement de 117 Aide Greffier du Tribunal – 2025,Ministère de la Justice,,,concours,,,farojob,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-117-aide-greffier-du-tribunal-2025/,29 mai 2025,2026-03-17 13:29:01
45,Concours Ministère de la Justice pour le recrutement de 105 Greffier du Tribunal – 2025,Ministère de la Justice,,,concours,,,farojob,https://www.farojob.net/jobs/ministere-de-la-justice-pour-le-recrutement-de-105-greffier-du-tribunal-2025/,29 mai 2025,2026-03-17 13:29:01
46,Concours Ministère de l’Intérieur pour le recrutement d’Agents de la Garde National – 2025,Ministère de l’interieur,,,concours,,,farojob,https://www.farojob.net/jobs/concours-ministere-de-linterieur-pour-le-recrutement-dagents-de-la-garde-national-2025/,29 mai 2025,2026-03-17 13:29:04
47,Groupe de Société recrute Directeur Administratif et Financier (DAF),Groupe de Société,Sfax,Tunisie,secteur_prive,,,farojob,https://www.farojob.net/jobs/groupe-de-societe-recrute-directeur-administratif-et-financier-daf/,21 mai 2025,2026-03-17 13:29:04
48,Groupe de Société recrute Comptable,Groupe de Société,Sfax,Gouvernorat de Sfax,secteur_prive,,,farojob,https://www.farojob.net/jobs/groupe-de-societe-recrute-comptable/,21 mai 2025,2026-03-17 13:29:04
49,Université Mahmoud El Materi recrute Bibliothécaire,Université Mahmoud El Materi,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-bibliothecaire/,16 mai 2025,2026-03-17 13:29:04
50,Université Mahmoud El Materi recrute Surveillant(e),Université Mahmoud El Materi,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-surveillante/,16 mai 2025,2026-03-17 13:29:04
51,Université Mahmoud El Materi recrute Un(e) chargé(e) de bureau d’ordre,Université Mahmoud El Materi,Tunis,,secteur_prive,,,farojob,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-une-chargee-de-bureau-dordre/,16 mai 2025,2026-03-17 13:29:04
52,Call In Call Out recrute Télé-Opérateur,Call In Call Out,Sousse,,secteur_prive,,,farojob,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/,15 mai 2025,2026-03-17 13:29:04
53,Call In Call Out recrute Agent IT,Call In Call Out,Sousse,,secteur_prive,,,farojob,https://www.farojob.net/jobs/call-in-call-out-recrute-agent-it/,15 mai 2025,2026-03-17 13:29:04
54,IT-MMA recrute Commercial/e IT,IT-MMA,Bizerte,Tunisie,secteur_prive,,,farojob,https://www.farojob.net/jobs/it-mma-recrute-commercial-e-it/,12 mai 2025,2026-03-17 13:29:04
